元番号,元ファイル,元の事故の型,設定した原因シナリオ,生成タイトル,google_1,google_2
"104","0104.jpg","墜落・転落","長いトラス材／大型看板パネルを作業床へ受け渡すため、シザースリフトの側面ガードレール(中桟)の一部を倒した／取り外したまま再固定せずに高所作業。手すりが無くなった開いた側へ作業員が後ずさり、ガードのない側面の開口部からそのまま外へ転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1b.png","google_2.png"
"112","0112.jpg","墜落・転落","作業を終え、上昇したシザースリフトをいちいち下降させる手間を惜しんで、手すりを乗り越え、機体のシザース機構(X字フレーム)に足を掛けて外側からよじ降りて高所のまま降りようとした。手すりにまたがった不安定な体勢で足を滑らせ、リフトの外側を伝う途中で手が離れて床まで転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2b.png"
"114","0114.jpg","墜落・転落","フルハーネスを着用してはいたが、命綱(ランヤード)のフックをアンカー(手すり/親綱)へ接続しないまま高所作業。手すり際で看板取付け中に体勢を崩して手すりを越えたが、未接続のフックが宙ぶらりんで落下を止められず、そのまま床まで転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"137","0137.webp","墜落・転落","シザースリフトの作業床の上に、工具・電動ドライバー・とぐろを巻いた延長コード・看板パネルの端材などを片付けずに散乱させたまま高所作業。手元の看板取付けに気を取られた作業員が後ずさりした際、足元に転がる工具や延長コードに足を取られてつまずき、その勢いのまま手すりを越えて転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2b.png"
"138","0138.png","墜落・転落","シザースリフトの作業床に、こぼした塗料／開いたペンキ缶やペットボトルの水がたまった濡れて滑りやすい床面を放置したまま高所作業。看板パネルの取付けで踏ん張った瞬間に濡れた床で足が前へ滑り、踏ん張りが利かないまま体が流れて手すりの下／外へ滑り落ちて転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"196","0196.webp","墜落・転落","作業床の高さでは届かないブース最上部の看板/トラスに手を届かせようと、シザースリフトの上部手すりの最上段に両足で立ち上がり（手すりの上に登って足場代わりにする）、不安定な体勢で背伸びした瞬間にバランスを崩し、手すりの外側へ落下して転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1b.png","google_2b.png"
"215","0215.jpg","墜落・転落","一台のシザースリフトの狭い作業床に、定員/積載荷重を超えて複数の作業員(3〜4人)と看板パネル・工具を一度に詰め込んで同時作業(過積載・定員オーバー)。混み合った床で互いの身体や運び込んだ荷物が押し合い、手すり際の作業員が他の作業員/パネルに押されて(玉突きで)バランスを崩し、手すりの外側へ押し出されて転落","展示会場ブース設営中の墜落・転落事故（原因が見える）","google_1.png","google_2.png"
"372","0372.jpg","挟まれ・巻き込まれ","上方のブース最上部トラス/天井梁を見上げて看板を取付け中、操作盤の上昇レバー(ジョイスティック)を身体/腹で押したまま気づかず連続上昇させ続ける『意図しない連続操作(サステインド・インボランタリー・オペレーション)』。前かがみで頭・首・胸が手すりの上端と直上のアルミトラス/天井梁との間に入り込み、上昇し続けるシザースリフトに挟まれて押し潰される","展示会場ブース設営中の挟まれ・巻き込まれ事故（原因が見える・初回の挟まれ描写が弱くstrongで再生成しgoogle_1bを採用）","google_1b.png","google_2.png"
"379","0379.jpg","挟まれ・巻き込まれ","作業床から離れた位置にある組みかけブースの固定アルミトラス支柱(自立した構造体)へ手を伸ばして看板金具を取付けようと、シザースリフトを上昇させながら身を乗り出して作業。上昇し続ける作業床の手すりと、すぐ脇に立つ固定トラス支柱との間に、乗り出した作業員の腕/胴体が横方向から入り込み、狭まる隙間に挟まれて押し潰される(側面の挟まれ・巻き込まれ)。落下ではなく、上昇する機体と固定構造物の間の挟圧。","展示会場ブース設営中の挟まれ・巻き込まれ事故（原因が見える）","google_1.png","google_2.png"
"497","0497.gif","転倒・横転","上昇させたままのシザースリフトを搬入口の床ケーブル/段差(配線カバー・スロープの継ぎ目)の上を走行させ、片側のキャスターが太い床ケーブル束/段差に乗り上げて機体が大きく傾く。重心の高い上昇状態のまま片輪が浮き、支えを失った機体が横方向へ倒れていく(横転)。アウトリガー/接地が不十分なまま段差を越えたことが原因。","展示会場ブース設営中の転倒・横転事故（原因が見える）","google_1.png","google_2.png"
"518","0518.webp","転倒・横転","平らな床に据えたシザースリフトを最大まで上昇させた状態で、作業床の作業員が、ずれて建っている重い組みかけブースの壁パネル/自立トラスを手で強く手前へ引き寄せて(あるいは固定構造物を強く押して)位置合わせし、高所で大きな水平力を機体にかけた。重心の高い上昇姿勢のまま水平方向の反力でバランスの支点を越え、床は平らなのに機体全体が水平力をかけた向きへ横転していく(側方水平力による転倒・横転)。床の段差やケーブルへの乗り上げが原因ではなく、上昇中の高所での水平押し引きが原因。","展示会場ブース設営中の転倒・横転事故（原因が見える）","google_1.png","google_2.png"
"519","0519.jpg","転倒・横転","シザースリフトを平らな床ではなく搬入口のスロープ/傾斜路(ローディングドックの登り勾配・仮設スロープ)の上に据えたまま作業床を高く上昇させて高所作業。地面そのものが傾いているため、上昇して重心が高くなった機体は最初から斜めに立っており、わずかな作業反動だけで安定支点を越え、機体全体が勾配の下り方向へ転倒・横転していく(傾斜地での上昇=不整地・接地不良起因の横転)。497の『平床で片輪が太いケーブル束/段差に乗り上げて片側だけ浮く』のとも、518の『平らな水平床で高所から強く水平に押し引きする』のとも異なり、原因は『地面が傾いたスロープ/傾斜路の上で上昇させたこと』そのもの。","展示会場ブース設営中の転倒・横転事故（原因が見える）","google_1.png","google_2.png"
"520","0520.webp","転倒・横転","平らな床に正しく据えて上昇させていたシザースリフトの足元(基部)へ、ブース資材(看板パネル/トラス材を積んだパレット)を運ぶフォークリフト(またはパレットトラック)が、混み合う設営現場の通路で前方確認不足のまま走行してきて側面から衝突。重心の高い上昇状態の機体が下から強く突かれて安定支点を越え、機体全体が衝突方向へ突き倒されて転倒・横転していく(第三者車両の接触=被衝突起因の横転)。497の『自分の片輪が床ケーブル/段差に乗り上げて傾く』のとも、518の『作業員自身が高所で水平に押し引きする』のとも、519の『傾いたスロープ上で上昇させる』のとも異なり、原因は『上昇中の機体の基部に、走ってきたフォークリフトが外部からぶつかったこと』そのもの。","展示会場ブース設営中の転倒・横転事故（原因が見える）","google_1.png","google_2.png"
"597","0597.jpg","転倒・横転","一見平らに見える展示ホールの床にある床下ピット/配線溝の取り外し式点検蓋・グレーチング、または養生が甘く支持力の弱い軟弱な箇所の上に、片側のベースキャスターを乗せたままシザースリフトを据えて高く上昇。重心が高くなった荷重に床蓋/軟弱地盤が耐えられず陥没・沈み込み、その側のベースが床面より下へ落ち込んで機体が大きく傾き、支えを失った機体全体が沈んだ側へ転倒・横転していく(接地不良=床の支持力不足・地盤沈下起因の横転)。497の『片輪が太い床ケーブル束/段差に乗り上げて片側だけ「上へ」浮き上がる』のとも、519の『一様に傾いたスロープ/傾斜路の上に据える』のとも、518の『高所での水平押し引き』のとも、520の『外部フォークリフトの被衝突』のとも異なり、原因は『床が抜ける/沈む不安定な接地点(床ピット蓋・グレーチング・軟弱箇所)の上に据えて上昇させ、片側のベースが「下へ」沈み込んだこと』そのもの。","展示会場ブース設営中の転倒・横転事故（原因が見える）","google_1.png","google_2.png"
"914","0914.webp","その他","上昇させたシザースリフトの真下/基部の足元へ、別の地上作業員が、床に落とした工具(電動ドライバー等)を拾おうとして無造作にしゃがみ込み、開いたシザース機構(X字フレーム)の下や作業床の真下へ頭・腕・上半身を差し入れた。ちょうどその瞬間、上の操作者が周囲確認・合図・立入禁止措置(バリケード/監視員)をしないまま下降操作を行い、降りてくる作業床の底面と閉じていくX字リンク機構・基部フレームとの間に、下の作業員が挟まれ・押し潰される(下降中の機体への巻き込まれ=立入禁止未設定・無人確認の不安全状態)。墜落でも横転でもなく、地上側の人が降下する機体に挟まれる型。","展示会場ブース設営中のその他事故（原因が見える）","google_1.png","google_2.png"
